Site,Year,Analyte ,PAH,Percent
Little River,2020,Total PAH,1.945,100
Marsh Creek WS DS,2020,Total PAH,11.8,100
Marsh Creek WS DS,2020,Total PAH,41,100
Marsh Creek WS DS,2020,Total PAH,142.94,100
Mispec,2020,Total PAH,0.085,100
Mispec,2020,Total PAH,0.085,100
Mispec,2020,Total PAH,0.085,100
Saints Rest Beach,2020,Total PAH,0.085,100
Saints Rest Beach,2020,Total PAH,0.085,100
Saints Rest Beach,2020,Total PAH,0.085,100
Spar Cove,2020,Total PAH,6.65,100
Spar Cove,2020,Total PAH,5.34,100
Spar Cove,2020,Total PAH,84.26,100
Tin Can Beach,2020,Total PAH,3.15,100
Tin Can Beach,2020,Total PAH,3.78,100
Tin Can Beach,2020,Total PAH,7.07,100
Bayshore,2021,Acenaphthene,0.005,5.882352941
Bayshore,2021,Acenaphthene,0.005,5.882352941
Bayshore,2021,Acenaphthene,0.005,5.882352941
Bayshore,2021,Acenaphthene,0.005,3.846153846
Black Beach,2021,Acenaphthene,0.005,5.882352941
Black Beach,2021,Acenaphthene,0.005,5.882352941
Black Beach,2021,Acenaphthene,0.005,5.882352941
Black Beach,2021,Acenaphthene,0.005,5.882352941
Courtenay Bay,2021,Acenaphthene,0.12,1.208459215
Courtenay Bay,2021,Acenaphthene,0.005,3.125
Courtenay Bay,2021,Acenaphthene,0.02,0.879120879
Courtenay Bay,2021,Acenaphthene,0.02,1.104972376
Digby Ferry Terminal,2021,Acenaphthene,0.03,1.339285714
Digby Ferry Terminal,2021,Acenaphthene,0.07,1.452282158
Digby Ferry Terminal,2021,Acenaphthene,0.09,1.747572816
Digby Ferry Terminal,2021,Acenaphthene,0.005,1.149425287
Hazen Creek Mouth,2021,Acenaphthene,0.005,5.882352941
Hazen Creek Mouth,2021,Acenaphthene,0.005,2.222222222
Hazen Creek Mouth,2021,Acenaphthene,0.005,4.347826087
Hazen Creek Mouth,2021,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthene,0.005,2.040816327
Hazen Creek Nearshore,2021,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthene,0.01,2.272727273
Hazen Creek Nearshore,2021,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthene,0.005,5.882352941
Inner Harbour,2021,Acenaphthene,0.005,0.636942675
Inner Harbour,2021,Acenaphthene,0.005,2.941176471
Inner Harbour,2021,Acenaphthene,0.03,1.284796574
Inner Harbour,2021,Acenaphthene,0.005,0.854700855
Inner Harbour,2021,Acenaphthene,0.04,1.111111111
Inner Harbour,2021,Acenaphthene,0.005,1.086956522
Little River,2021,Acenaphthene,0.41,3.85519511
Little River,2021,Acenaphthene,0.04,0.257234727
Little River,2021,Acenaphthene,0.025,1.366120219
Little River,2021,Acenaphthene,0.005,0.078186083
Marsh Creek WS DS,2021,Acenaphthene,0.11,0.864779874
Marsh Creek WS DS,2021,Acenaphthene,0.11,0.793078587
Marsh Creek WS DS,2021,Acenaphthene,0.22,0.928661883
Marsh Creek WS DS,2021,Acenaphthene,0.42,1.084710744
Mispec,2021,Acenaphthene,0.005,5.882352941
Mispec,2021,Acenaphthene,0.005,5.882352941
Mispec,2021,Acenaphthene,0.005,5.882352941
Mispec,2021,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthene,0.005,5.882352941
Spar Cove,2021,Acenaphthene,0.04,0.793650794
Spar Cove,2021,Acenaphthene,0.05,0.88028169
Spar Cove,2021,Acenaphthene,0.07,1.105845182
Spar Cove,2021,Acenaphthene,0.1,1.049317943
Spar Cove,2021,Acenaphthene,0.01,0.632911392
Spar Cove,2021,Acenaphthene,0.005,0.892857143
Tin Can Beach,2021,Acenaphthene,1.2,2.434077079
Tin Can Beach,2021,Acenaphthene,0.12,1.585204756
Tin Can Beach,2021,Acenaphthene,0.01,0.230946882
Tin Can Beach,2021,Acenaphthene,0.05,0.538793103
Tin Can Beach,2021,Acenaphthene,0.005,0.217864924
Tin Can Beach,2021,Acenaphthene,0.005,0.155520995
Bayshore,2021,Acenaphthylene,0.005,5.882352941
Bayshore,2021,Acenaphthylene,0.005,5.882352941
Bayshore,2021,Acenaphthylene,0.005,5.882352941
Bayshore,2021,Acenaphthylene,0.005,3.846153846
Black Beach,2021,Acenaphthylene,0.005,5.882352941
Black Beach,2021,Acenaphthylene,0.005,5.882352941
Black Beach,2021,Acenaphthylene,0.005,5.882352941
Black Beach,2021,Acenaphthylene,0.005,5.882352941
Courtenay Bay,2021,Acenaphthylene,0.02,0.201409869
Courtenay Bay,2021,Acenaphthylene,0.005,3.125
Courtenay Bay,2021,Acenaphthylene,0.005,0.21978022
Courtenay Bay,2021,Acenaphthylene,0.005,0.276243094
Digby Ferry Terminal,2021,Acenaphthylene,0.02,0.892857143
Digby Ferry Terminal,2021,Acenaphthylene,0.02,0.414937759
Digby Ferry Terminal,2021,Acenaphthylene,0.03,0.582524272
Digby Ferry Terminal,2021,Acenaphthylene,0.005,1.149425287
Hazen Creek Mouth,2021,Acenaphthylene,0.005,5.882352941
Hazen Creek Mouth,2021,Acenaphthylene,0.005,2.222222222
Hazen Creek Mouth,2021,Acenaphthylene,0.005,4.347826087
Hazen Creek Mouth,2021,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,2.040816327
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,1.136363636
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2021,Acenaphthylene,0.005,5.882352941
Inner Harbour,2021,Acenaphthylene,0.005,0.636942675
Inner Harbour,2021,Acenaphthylene,0.005,2.941176471
Inner Harbour,2021,Acenaphthylene,0.005,0.214132762
Inner Harbour,2021,Acenaphthylene,0.005,0.854700855
Inner Harbour,2021,Acenaphthylene,0.03,0.833333333
Inner Harbour,2021,Acenaphthylene,0.005,1.086956522
Little River,2021,Acenaphthylene,0.005,0.047014575
Little River,2021,Acenaphthylene,0.19,1.221864952
Little River,2021,Acenaphthylene,0.025,1.366120219
Little River,2021,Acenaphthylene,0.005,0.078186083
Marsh Creek WS DS,2021,Acenaphthylene,0.09,0.70754717
Marsh Creek WS DS,2021,Acenaphthylene,0.11,0.793078587
Marsh Creek WS DS,2021,Acenaphthylene,0.15,0.633178556
Marsh Creek WS DS,2021,Acenaphthylene,0.26,0.671487603
Mispec,2021,Acenaphthylene,0.005,5.882352941
Mispec,2021,Acenaphthylene,0.005,5.882352941
Mispec,2021,Acenaphthylene,0.005,5.882352941
Mispec,2021,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2021,Acenaphthylene,0.005,5.882352941
Spar Cove,2021,Acenaphthylene,0.03,0.595238095
Spar Cove,2021,Acenaphthylene,0.02,0.352112676
Spar Cove,2021,Acenaphthylene,0.02,0.315955766
Spar Cove,2021,Acenaphthylene,0.08,0.839454355
Spar Cove,2021,Acenaphthylene,0.01,0.632911392
Spar Cove,2021,Acenaphthylene,0.005,0.892857143
Tin Can Beach,2021,Acenaphthylene,0.22,0.446247465
Tin Can Beach,2021,Acenaphthylene,0.08,1.05680317
Tin Can Beach,2021,Acenaphthylene,0.06,1.385681293
Tin Can Beach,2021,Acenaphthylene,0.16,1.724137931
Tin Can Beach,2021,Acenaphthylene,0.03,1.307189542
Tin Can Beach,2021,Acenaphthylene,0.04,1.244167963
Bayshore,2021,Anthracene,0.005,5.882352941
Bayshore,2021,Anthracene,0.005,5.882352941
Bayshore,2021,Anthracene,0.005,5.882352941
Bayshore,2021,Anthracene,0.005,3.846153846
Black Beach,2021,Anthracene,0.005,5.882352941
Black Beach,2021,Anthracene,0.005,5.882352941
Black Beach,2021,Anthracene,0.005,5.882352941
Black Beach,2021,Anthracene,0.005,5.882352941
Courtenay Bay,2021,Anthracene,1.1,11.0775428
Courtenay Bay,2021,Anthracene,0.005,3.125
Courtenay Bay,2021,Anthracene,0.16,7.032967033
Courtenay Bay,2021,Anthracene,0.06,3.314917127
Digby Ferry Terminal,2021,Anthracene,0.09,4.017857143
Digby Ferry Terminal,2021,Anthracene,0.25,5.186721992
Digby Ferry Terminal,2021,Anthracene,0.24,4.660194175
Digby Ferry Terminal,2021,Anthracene,0.005,1.149425287
Hazen Creek Mouth,2021,Anthracene,0.005,5.882352941
Hazen Creek Mouth,2021,Anthracene,0.005,2.222222222
Hazen Creek Mouth,2021,Anthracene,0.005,4.347826087
Hazen Creek Mouth,2021,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Anthracene,0.005,2.040816327
Hazen Creek Nearshore,2021,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Anthracene,0.02,4.545454545
Hazen Creek Nearshore,2021,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Anthracene,0.005,5.882352941
Inner Harbour,2021,Anthracene,0.02,2.547770701
Inner Harbour,2021,Anthracene,0.005,2.941176471
Inner Harbour,2021,Anthracene,0.08,3.426124197
Inner Harbour,2021,Anthracene,0.02,3.418803419
Inner Harbour,2021,Anthracene,0.14,3.888888889
Inner Harbour,2021,Anthracene,0.005,1.086956522
Little River,2021,Anthracene,0.63,5.923836389
Little River,2021,Anthracene,0.49,3.151125402
Little River,2021,Anthracene,0.08,4.371584699
Little River,2021,Anthracene,0.3,4.691164973
Marsh Creek WS DS,2021,Anthracene,0.48,3.773584906
Marsh Creek WS DS,2021,Anthracene,0.46,3.316510454
Marsh Creek WS DS,2021,Anthracene,1.6,6.753904601
Marsh Creek WS DS,2021,Anthracene,2.3,5.940082645
Mispec,2021,Anthracene,0.005,5.882352941
Mispec,2021,Anthracene,0.005,5.882352941
Mispec,2021,Anthracene,0.005,5.882352941
Mispec,2021,Anthracene,0.005,5.882352941
Saints Rest Beach,2021,Anthracene,0.005,5.882352941
Saints Rest Beach,2021,Anthracene,0.005,5.882352941
Saints Rest Beach,2021,Anthracene,0.005,5.882352941
Saints Rest Beach,2021,Anthracene,0.005,5.882352941
Spar Cove,2021,Anthracene,0.17,3.373015873
Spar Cove,2021,Anthracene,0.23,4.049295775
Spar Cove,2021,Anthracene,0.21,3.317535545
Spar Cove,2021,Anthracene,0.36,3.777544596
Spar Cove,2021,Anthracene,0.04,2.53164557
Spar Cove,2021,Anthracene,0.005,0.892857143
Tin Can Beach,2021,Anthracene,2.3,4.665314402
Tin Can Beach,2021,Anthracene,0.24,3.170409511
Tin Can Beach,2021,Anthracene,0.1,2.309468822
Tin Can Beach,2021,Anthracene,0.23,2.478448276
Tin Can Beach,2021,Anthracene,0.05,2.178649237
Tin Can Beach,2021,Anthracene,0.06,1.866251944
Bayshore,2021,Benz[a]anthracene,0.005,5.882352941
Bayshore,2021,Benz[a]anthracene,0.005,5.882352941
Bayshore,2021,Benz[a]anthracene,0.005,5.882352941
Bayshore,2021,Benz[a]anthracene,0.01,7.692307692
Black Beach,2021,Benz[a]anthracene,0.005,5.882352941
Black Beach,2021,Benz[a]anthracene,0.005,5.882352941
Black Beach,2021,Benz[a]anthracene,0.005,5.882352941
Black Beach,2021,Benz[a]anthracene,0.005,5.882352941
Courtenay Bay,2021,Benz[a]anthracene,0.7,7.049345418
Courtenay Bay,2021,Benz[a]anthracene,0.01,6.25
Courtenay Bay,2021,Benz[a]anthracene,0.18,7.912087912
Courtenay Bay,2021,Benz[a]anthracene,0.13,7.182320442
Digby Ferry Terminal,2021,Benz[a]anthracene,0.17,7.589285714
Digby Ferry Terminal,2021,Benz[a]anthracene,0.38,7.883817427
Digby Ferry Terminal,2021,Benz[a]anthracene,0.37,7.184466019
Digby Ferry Terminal,2021,Benz[a]anthracene,0.03,6.896551724
Hazen Creek Mouth,2021,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Mouth,2021,Benz[a]anthracene,0.02,8.888888889
Hazen Creek Mouth,2021,Benz[a]anthracene,0.005,4.347826087
Hazen Creek Mouth,2021,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.02,8.163265306
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.02,4.545454545
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benz[a]anthracene,0.005,5.882352941
Inner Harbour,2021,Benz[a]anthracene,0.07,8.917197452
Inner Harbour,2021,Benz[a]anthracene,0.02,11.76470588
Inner Harbour,2021,Benz[a]anthracene,0.19,8.137044968
Inner Harbour,2021,Benz[a]anthracene,0.05,8.547008547
Inner Harbour,2021,Benz[a]anthracene,0.28,7.777777778
Inner Harbour,2021,Benz[a]anthracene,0.04,8.695652174
Little River,2021,Benz[a]anthracene,0.67,6.299952985
Little River,2021,Benz[a]anthracene,1.3,8.360128617
Little River,2021,Benz[a]anthracene,0.025,1.366120219
Little River,2021,Benz[a]anthracene,0.46,7.193119625
Marsh Creek WS DS,2021,Benz[a]anthracene,1,7.86163522
Marsh Creek WS DS,2021,Benz[a]anthracene,1.1,7.930785869
Marsh Creek WS DS,2021,Benz[a]anthracene,1.8,7.598142676
Marsh Creek WS DS,2021,Benz[a]anthracene,3.1,8.006198347
Mispec,2021,Benz[a]anthracene,0.005,5.882352941
Mispec,2021,Benz[a]anthracene,0.005,5.882352941
Mispec,2021,Benz[a]anthracene,0.005,5.882352941
Mispec,2021,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2021,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2021,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2021,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2021,Benz[a]anthracene,0.005,5.882352941
Spar Cove,2021,Benz[a]anthracene,0.39,7.738095238
Spar Cove,2021,Benz[a]anthracene,0.45,7.922535211
Spar Cove,2021,Benz[a]anthracene,0.45,7.109004739
Spar Cove,2021,Benz[a]anthracene,0.72,7.555089192
Spar Cove,2021,Benz[a]anthracene,0.12,7.594936709
Spar Cove,2021,Benz[a]anthracene,0.05,8.928571429
Tin Can Beach,2021,Benz[a]anthracene,3.4,6.896551724
Tin Can Beach,2021,Benz[a]anthracene,0.55,7.265521797
Tin Can Beach,2021,Benz[a]anthracene,0.35,8.083140878
Tin Can Beach,2021,Benz[a]anthracene,0.66,7.112068966
Tin Can Beach,2021,Benz[a]anthracene,0.18,7.843137255
Tin Can Beach,2021,Benz[a]anthracene,0.26,8.087091757
Bayshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Bayshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Bayshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Bayshore,2021,"Benzo(g,h,i)perylene-D12",0.005,3.846153846
Black Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Courtenay Bay,2021,"Benzo(g,h,i)perylene-D12",0.24,2.416918429
Courtenay Bay,2021,"Benzo(g,h,i)perylene-D12",0.01,6.25
Courtenay Bay,2021,"Benzo(g,h,i)perylene-D12",0.09,3.956043956
Courtenay Bay,2021,"Benzo(g,h,i)perylene-D12",0.07,3.867403315
Digby Ferry Terminal,2021,"Benzo(g,h,i)perylene-D12",0.09,4.017857143
Digby Ferry Terminal,2021,"Benzo(g,h,i)perylene-D12",0.15,3.112033195
Digby Ferry Terminal,2021,"Benzo(g,h,i)perylene-D12",0.19,3.689320388
Digby Ferry Terminal,2021,"Benzo(g,h,i)perylene-D12",0.02,4.597701149
Hazen Creek Mouth,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Mouth,2021,"Benzo(g,h,i)perylene-D12",0.005,2.222222222
Hazen Creek Mouth,2021,"Benzo(g,h,i)perylene-D12",0.005,4.347826087
Hazen Creek Mouth,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.01,4.081632653
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.01,2.272727273
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.04,5.095541401
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.01,5.882352941
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.1,4.282655246
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.03,5.128205128
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.18,5
Inner Harbour,2021,"Benzo(g,h,i)perylene-D12",0.03,6.52173913
Little River,2021,"Benzo(g,h,i)perylene-D12",0.27,2.538787024
Little River,2021,"Benzo(g,h,i)perylene-D12",0.6,3.8585209
Little River,2021,"Benzo(g,h,i)perylene-D12",0.26,14.20765027
Little River,2021,"Benzo(g,h,i)perylene-D12",0.27,4.222048475
Marsh Creek WS DS,2021,"Benzo(g,h,i)perylene-D12",0.63,4.952830189
Marsh Creek WS DS,2021,"Benzo(g,h,i)perylene-D12",0.58,4.181687094
Marsh Creek WS DS,2021,"Benzo(g,h,i)perylene-D12",0.82,3.461376108
Marsh Creek WS DS,2021,"Benzo(g,h,i)perylene-D12",1.3,3.357438017
Mispec,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Mispec,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Mispec,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Mispec,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2021,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.21,4.166666667
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.21,3.697183099
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.26,4.107424961
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.42,4.407135362
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.09,5.696202532
Spar Cove,2021,"Benzo(g,h,i)perylene-D12",0.03,5.357142857
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",1.8,3.651115619
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",0.28,3.698811096
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",0.25,5.773672055
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",0.4,4.310344828
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",0.14,6.100217865
Tin Can Beach,2021,"Benzo(g,h,i)perylene-D12",0.19,5.909797823
Bayshore,2021,Benzo[a]pyrene,0.005,5.882352941
Bayshore,2021,Benzo[a]pyrene,0.005,5.882352941
Bayshore,2021,Benzo[a]pyrene,0.005,5.882352941
Bayshore,2021,Benzo[a]pyrene,0.01,7.692307692
Black Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Courtenay Bay,2021,Benzo[a]pyrene,0.46,4.632426989
Courtenay Bay,2021,Benzo[a]pyrene,0.01,6.25
Courtenay Bay,2021,Benzo[a]pyrene,0.17,7.472527473
Courtenay Bay,2021,Benzo[a]pyrene,0.12,6.629834254
Digby Ferry Terminal,2021,Benzo[a]pyrene,0.16,7.142857143
Digby Ferry Terminal,2021,Benzo[a]pyrene,0.32,6.639004149
Digby Ferry Terminal,2021,Benzo[a]pyrene,0.38,7.378640777
Digby Ferry Terminal,2021,Benzo[a]pyrene,0.03,6.896551724
Hazen Creek Mouth,2021,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Mouth,2021,Benzo[a]pyrene,0.02,8.888888889
Hazen Creek Mouth,2021,Benzo[a]pyrene,0.005,4.347826087
Hazen Creek Mouth,2021,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.02,8.163265306
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.02,4.545454545
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2021,Benzo[a]pyrene,0.005,5.882352941
Inner Harbour,2021,Benzo[a]pyrene,0.06,7.643312102
Inner Harbour,2021,Benzo[a]pyrene,0.01,5.882352941
Inner Harbour,2021,Benzo[a]pyrene,0.19,8.137044968
Inner Harbour,2021,Benzo[a]pyrene,0.05,8.547008547
Inner Harbour,2021,Benzo[a]pyrene,0.37,10.27777778
Inner Harbour,2021,Benzo[a]pyrene,0.05,10.86956522
Little River,2021,Benzo[a]pyrene,0.53,4.983544899
Little River,2021,Benzo[a]pyrene,1.2,7.717041801
Little River,2021,Benzo[a]pyrene,0.18,9.836065574
Little River,2021,Benzo[a]pyrene,0.44,6.880375293
Marsh Creek WS DS,2021,Benzo[a]pyrene,0.98,7.704402516
Marsh Creek WS DS,2021,Benzo[a]pyrene,1.1,7.930785869
Marsh Creek WS DS,2021,Benzo[a]pyrene,1.8,7.598142676
Marsh Creek WS DS,2021,Benzo[a]pyrene,2.8,7.231404959
Mispec,2021,Benzo[a]pyrene,0.005,5.882352941
Mispec,2021,Benzo[a]pyrene,0.005,5.882352941
Mispec,2021,Benzo[a]pyrene,0.005,5.882352941
Mispec,2021,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2021,Benzo[a]pyrene,0.005,5.882352941
Spar Cove,2021,Benzo[a]pyrene,0.35,6.944444444
Spar Cove,2021,Benzo[a]pyrene,0.44,7.746478873
Spar Cove,2021,Benzo[a]pyrene,0.46,7.266982622
Spar Cove,2021,Benzo[a]pyrene,0.75,7.869884575
Spar Cove,2021,Benzo[a]pyrene,0.15,9.493670886
Spar Cove,2021,Benzo[a]pyrene,0.05,8.928571429
Tin Can Beach,2021,Benzo[a]pyrene,3.1,6.288032454
Tin Can Beach,2021,Benzo[a]pyrene,0.48,6.340819022
Tin Can Beach,2021,Benzo[a]pyrene,0.47,10.85450346
Tin Can Beach,2021,Benzo[a]pyrene,0.8,8.620689655
Tin Can Beach,2021,Benzo[a]pyrene,0.24,10.45751634
Tin Can Beach,2021,Benzo[a]pyrene,0.36,11.19751166
Bayshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Bayshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Bayshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Bayshore,2021,"Benzo[b,j]fluoranthene",0.01,7.692307692
Black Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Courtenay Bay,2021,"Benzo[b,j]fluoranthene",0.7,7.049345418
Courtenay Bay,2021,"Benzo[b,j]fluoranthene",0.02,12.5
Courtenay Bay,2021,"Benzo[b,j]fluoranthene",0.24,10.54945055
Courtenay Bay,2021,"Benzo[b,j]fluoranthene",0.17,9.392265193
Digby Ferry Terminal,2021,"Benzo[b,j]fluoranthene",0.17,7.589285714
Digby Ferry Terminal,2021,"Benzo[b,j]fluoranthene",0.37,7.676348548
Digby Ferry Terminal,2021,"Benzo[b,j]fluoranthene",0.46,8.932038835
Digby Ferry Terminal,2021,"Benzo[b,j]fluoranthene",0.04,9.195402299
Hazen Creek Mouth,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Mouth,2021,"Benzo[b,j]fluoranthene",0.02,8.888888889
Hazen Creek Mouth,2021,"Benzo[b,j]fluoranthene",0.005,4.347826087
Hazen Creek Mouth,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.03,12.24489796
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.03,6.818181818
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.08,10.1910828
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.02,11.76470588
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.22,9.421841542
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.07,11.96581197
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.39,10.83333333
Inner Harbour,2021,"Benzo[b,j]fluoranthene",0.06,13.04347826
Little River,2021,"Benzo[b,j]fluoranthene",0.66,6.205923836
Little River,2021,"Benzo[b,j]fluoranthene",1.5,9.646302251
Little River,2021,"Benzo[b,j]fluoranthene",0.15,8.196721311
Little River,2021,"Benzo[b,j]fluoranthene",0.39,6.098514464
Marsh Creek WS DS,2021,"Benzo[b,j]fluoranthene",1.4,11.00628931
Marsh Creek WS DS,2021,"Benzo[b,j]fluoranthene",1.3,9.372746936
Marsh Creek WS DS,2021,"Benzo[b,j]fluoranthene",2.2,9.286618827
Marsh Creek WS DS,2021,"Benzo[b,j]fluoranthene",4,10.33057851
Mispec,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Mispec,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Mispec,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Mispec,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2021,"Benzo[b,j]fluoranthene",0.005,5.882352941
